Store Name,amenity,leisure,shop,count
1ST STOP BEVERAGE SHOP,None,None,supermarket,1
1ST STOP BEVERAGE SHOP,None,stadium,None,1
1ST STOP BEVERAGE SHOP,bar,None,None,2
1ST STOP BEVERAGE SHOP,restaurant,None,None,3
821 SQ LIQUOR / DES MOINES,None,None,supermarket,5
821 SQ LIQUOR / DES MOINES,bar,None,None,1
821 SQ LIQUOR / DES MOINES,restaurant,None,None,8
ABC SMOKE / URBANDALE,restaurant,None,None,9
ABC SMOKE / URBANDALE,pub,None,None,1
ABC SMOKE / URBANDALE,bar,None,None,3
ABC SMOKE / URBANDALE,None,None,supermarket,1
ABC SMOKE / URBANDALE,cafe,None,None,2
ADVENTURELAND / ALTOONA,restaurant,None,None,17
ADVENTURELAND / ALTOONA,None,None,supermarket,1
ADVENTURELAND / ALTOONA,bar,None,None,1
ADVENTURELAND / ALTOONA,cafe,None,None,1
ADVENTURELAND / ALTOONA,pub,None,None,2
ADVENTURELAND INN,pub,None,None,1
ADVENTURELAND INN,restaurant,None,None,11
ADVENTURELAND INN,None,None,supermarket,1
ADVENTURELAND INN,bar,None,None,1
AFAL FOOD & LIQUOR / DES MOINES,None,None,supermarket,3
AFAL FOOD & LIQUOR / DES MOINES,restaurant,None,None,5
ALLCOOL LIQUORS / WDM,restaurant,None,None,5
ALTOONA LIQUOR AND TOBACCO / ALTOONA,None,None,supermarket,1
ALTOONA LIQUOR AND TOBACCO / ALTOONA,restaurant,None,None,1
ANKENY WINE AND SPIRITS / ANKENY,None,None,supermarket,2
BEST FOOD MART / DES MOINES,None,None,supermarket,3
BEST FOOD MART / DES MOINES,restaurant,None,None,5
BEST FOOD MART 3  LLC,restaurant,None,None,6
BEST FOOD MART 3  LLC,cafe,None,None,4
BEST FOOD MART 3  LLC,None,stadium,None,2
BEST FOOD MART 3  LLC,None,None,supermarket,2
BEST FOOD MART 3  LLC,bar,None,None,1
BEST TRIP,None,None,supermarket,1
BEST TRIP,None,stadium,None,1
BEST TRIP,bar,None,None,22
BEST TRIP,cafe,None,None,4
BEST TRIP,pub,None,None,9
BEST TRIP,restaurant,None,None,26
BLIND PIG COCKTAIL BODEGA WEST DES MOINES,restaurant,None,None,12
BLIND PIG COCKTAIL BODEGA WEST DES MOINES,pub,None,None,3
BLIND PIG COCKTAIL BODEGA WEST DES MOINES,cafe,None,None,2
BLIND PIG COCKTAIL BODEGA WEST DES MOINES,bar,None,None,6
BLIND PIG COCKTAIL BODEGA WEST DES MOINES,None,None,supermarket,1
BRAVIM MART INCORPORATED / ANKENY,None,None,supermarket,1
BRAVIM MART INCORPORATED / ANKENY,None,stadium,None,12
BRAVIM MART INCORPORATED / ANKENY,bar,None,None,2
BRAVIM MART INCORPORATED / ANKENY,cafe,None,None,2
BRAVIM MART INCORPORATED / ANKENY,pub,None,None,3
BRAVIM MART INCORPORATED / ANKENY,restaurant,None,None,16
BREW OIL #80 / WEST DES MOINES,restaurant,None,None,10
BREW OIL #80 / WEST DES MOINES,pub,None,None,3
BREW OIL #80 / WEST DES MOINES,cafe,None,None,2
BREW OIL #80 / WEST DES MOINES,bar,None,None,4
"BRICK STREET MARKET, LLC",cafe,None,None,1
"BRICK STREET MARKET, LLC",pub,None,None,1
C FRESH MARKET,cafe,None,None,1
C FRESH MARKET,restaurant,None,None,6
C FRESH MARKET,restaurant,None,coffee,1
CASEY'S #3953 / DES MOINES,restaurant,None,None,8
CASEY'S #3953 / DES MOINES,pub,None,None,2
